classification,date_case,date_last_change,reference,country,type,category,subject,hazard,chemical,amount,product,origin
alert,22/12/2005,,2005.961,Germany,food,herbs and spices,"aflatoxins (B1 = 44.0; Tot. = 45.6 µg/kg - ppb),ochratoxin A (11.6 µg/kg - ppb) and unauthorised colours Sudan 1 (1217.6 mg/kg - ppm) and Sudan 4 (190.4 mg/kg - ppm) in hot paprika powder from the Netherlands",co,aflatoxins,B1 = 44.0; Tot. = 45.6 µg/kg - ppb,hot paprika powder,the Netherlands
information,21/12/2005,,2005.DFK,Germany,food,"nuts, nut products and seeds",high content of morphine (200 mg/kg - ppm) in poppy seed from unknown origin,co,morphine,200 mg/kg - ppm,poppy seed,unknown origin
alert,21/12/2005,,2005.954,Czech Republic,food,"dietetic foods, food supplements, fortified foods",benzethonium chloride (4.88 %) in grapefuit seed extract from Ireland,co,benzethonium chloride,4.88 %,grapefuit seed extract,Ireland
alert,19/12/2005,,2005.945,Germany,food,cereals and bakery products,unauthorised colours Sudan 1 (9.2 mg/kg - ppm) and Sudan 4 (0.8 mg/kg - ppm) in pasta from Italy,co,colour Sudan 1,9.2 mg/kg - ppm,pasta,Italy
alert,13/12/2005,,2005.912,Italy,food,fish and fish products,carbon monoxide treatment (presence) of fresh tuna loins (Thunnus thinnus) from Spain,co,,presence,fresh tuna loin (thunnus thinnus),Spain
information,12/12/2005,,2005.DDJ,Germany,food,herbs and spices,unauthorised colours Sudan 1 (5 mg/kg - ppm) and Sudan 4 (2 mg/kg - ppm) in paprika powder from Turkey,co,colour Sudan 1,5 mg/kg - ppm,paprika powder,Turkey
alert,08/12/2005,,2005.895,Germany,food,herbs and spices,unauthorised colour Sudan 1 (1.5 mg/kg - ppm) in mild madras currypowder from India via the United Kingdom,co,colour Sudan 1,1.5 mg/kg - ppm,mild madras currypowder,India via the United Kingdom
alert,07/12/2005,,2005.892,Hungary,food,"nuts, nut products and seeds",high content of morphine (48 mg/kg - ppm) in ground poppy seeds from Austria,co,morphine,48 mg/kg - ppm,ground poppy seed,Austria
information,06/12/2005,,2005.DBT,Sweden,food,herbs and spices,"unauthorised colours Sudan 1 (0.65 mg/kg - ppm),Sudan 3 (30 mg/kg - ppm) and Sudan 4 (0.2 mg/kg - ppm) in paprika powder from Bosnia and Herzegovina",co,colour Sudan 1,0.65 mg/kg - ppm,paprika powder,Bosnia and Herzegovina
information,02/12/2005,,2005.DAU,Norway,food,herbs and spices,unauthorised colours Sudan 1 (190 mg/kg - ppm) and Sudan 4 (70 mg/kg - ppm) in red hot pepper from Syria,co,colour Sudan 1,190 mg/kg - ppm,red hot pepper,Syria
alert,02/12/2005,,2005.878,Germany,food,fruits and vegetables,high content of iodine (5481 mg/kg - ppm) in dried seaweed from China via France,co,iodine,5481 mg/kg - ppm,dried seaweed,China via France
information,01/12/2005,,2005.DAO,Germany,food,herbs and spices,unauthorised colour Sudan 4 (0.19 mg/kg - ppm) in curry powder from Malaysia,co,colour Sudan 4,0.19 mg/kg - ppm,curry powder,Malaysia
alert,01/12/2005,,2005.876,Italy,food,fish and fish products,carbon monoxide treatment (visual inspection) of tuna loins (Thunnus albacares) from Brazil via the Netherlands,co,,visual inspection,tuna loins (thunnus albacares),Brazil via the Netherlands
information,29/11/2005,,2005.CZJ,Malta,food,meat and meat products (other than poultry),unauthorised colour red yeast rice (Angkak) in frankfurter sausages from Malta,co,colour red yeast rice,Angkak,frankfurter sausage,Malta
information,28/11/2005,,2005.CZE,Italy,food,fats and oils,unauthorised colour Sudan 4 (4.7 mg/kg - ppm) in palm oil from Nigeria,co,colour Sudan 4,4.7 mg/kg - ppm,palm oil,Nigeria
information,25/11/2005,,2005.CZA,Norway,food,herbs and spices,"unauthorised colours Sudan 1 (99 mg/kg - ppm),Sudan 3 (0.10 mg/kg - ppm) and Sudan 4 (170 mg/kg - ppm) in tandoori masala mix for tandoori barbeque chicken from Pakistan via the United Arab Emirates",co,colour Sudan 1,99 mg/kg - ppm,tandoori masala mix for tandoori barbeque chicken,Pakistan via the United Arab Emirates
alert,24/11/2005,,2005.850,France,food,herbs and spices,unauthorised colours Sudan 1 (988.1 mg/kg - ppm) and Sudan 4 (52.3 mg/kg - ppm) and unauthorised use of colour E 160b - annato/bixin/norbixin (55.2 mg/kg - ppm) in hot chilli from Spain,co,colour Sudan 1,988.1 mg/kg - ppm,hot chilli,Spain
alert,23/11/2005,,2005.843,France,food,herbs and spices,unauthorised colour Para Red (139 mg/kg - ppm) in spices from the Russian Federation,co,colour Para Red,139 mg/kg - ppm,spices,the Russian Federation
alert,23/11/2005,,2005.842,France,food,herbs and spices,unauthorised colour Para Red (138 mg/kg - ppm) in spices from the Russian Federation,co,colour Para Red,138 mg/kg - ppm,spices,the Russian Federation
alert,23/11/2005,,2005.841,France,food,herbs and spices,unauthorised colour Sudan 1 (12.4 mg/kg - ppm) in spice mixture from unknown origin,co,colour Sudan 1,12.4 mg/kg - ppm,spices,unknown origin
information,18/11/2005,,2005.CXI,Greece,food,fats and oils,unauthorised food additive TBHQ - tertiary butylhydroquinone (151.8 mg/kg - ppm) in canola liquid shortening from the United States,co,food additive TBHQ - tertiary butylhydroquinone,151.8 mg/kg - ppm,canola liquid shortening,the United States
information,17/11/2005,,2005.CXC,United Kingdom,food,herbs and spices,unauthorised colour Sudan 4 (9; 10 mg/kg - ppm) in extra hot chilli powder from India via Pakistan,co,colour Sudan 4,9; 10 mg/kg - ppm,hot chilli powder,India via Pakistan
information,16/11/2005,,2005.CWT,Italy,food,fruits and vegetables,unauthorised colours Sudan 1 (3.9; 15.5 mg/kg - ppm) and Sudan 4 (0.16 mg/kg - ppm) in pickled mixture of vegetables and pickled garlic from Pakistan,co,colour Sudan 1,3.9; 15.5 mg/kg - ppm,pickled mixture of vegetables and pickled garlic,Pakistan
information,15/11/2005,,2005.CWQ,United Kingdom,food,food additives and flavourings,unauthorised colour Orange II (12000 mg/kg - ppm) in food colour for culinary purposes from India,co,colour Orange II,12000 mg/kg - ppm,food colour for culinary purposes,India
information,07/11/2005,,2005.CUQ,United Kingdom,food,fruits and vegetables,unauthorised colour Sudan 1 (250 µg/kg - ppb) in garlic pickle in oil from Bangladesh,co,colour Sudan 1,250 µg/kg - ppb,garlic pickle in oil,Bangladesh
information,07/11/2005,,2005.CUO,United Kingdom,food,water for human consumption (other),arsenic (18 µg/l) and too high content of nitrate (148 mg/l) in bottled drinking water from Saudi Arabia,co,arsenic,18 µg/l,bottled drinking water,Saudi Arabia
information,07/11/2005,,2005.CUM,Spain,food,herbs and spices,unauthorised colours Sudan 1 (510 µg/kg - ppb) and Sudan 4 (257.7 µg/kg - ppb) in hot paprika from Spain,co,colour Sudan 1,510 µg/kg - ppb,hot paprika,Spain
information,03/11/2005,,2005.CUG,United Kingdom,food,water for human consumption (other),arsenic (18 mg/l) and too high content of nitrate (148 mg/l) in bottled drinking water from Saudi Arabia,co,arsenic,18 mg/l,bottled drinking water,Saudi Arabia
information,03/11/2005,,2005.CUB,United Kingdom,food,fruits and vegetables,unauthorised colour Rose Bengal (or structurally similar) in pickles from Syria,co,colour Rose Bengal,or structurally similar,pickles,Syria
alert,28/10/2005,,2005.768,Italy,food,fish and fish products,carbon monoxide treatment (896 µg/kg - ppb) of vacuum packed refreshed tuna from Poland via Denmark and via the Netherlands,co,,896 µg/kg - ppb,vacuum packed refreshed tuna,Poland via Denmark and via the Netherlands
information,27/10/2005,,2005.CTA,Germany,food,"nuts, nut products and seeds",high content of morphine (228 mg/kg - ppm) in poppy seed from Australia,co,morphine,228 mg/kg - ppm,poppy seed,Australia
alert,25/10/2005,,2005.757,Italy,food,fish and fish products,carbon monoxide treatment (319 µg/kg - ppb) of frozen tuna loins from the Netherlands,co,,319 µg/kg - ppb,frozen tuna loins,the Netherlands
information,21/10/2005,,2005.CRQ,United Kingdom,food,fats and oils,unauthorised colour Sudan 4 (1; 12; 44 mg/kg - ppm) in palm oil from Ghana,co,colour Sudan 4,1; 12; 44 mg/kg - ppm,palm oil,Ghana
alert,21/10/2005,,2005.750,Germany,food,herbs and spices,unauthorised colours Sudan 1 (267 mg/kg - ppm) and Sudan 4 (presence) in crushed chillies from China via India,co,colour Sudan 1,267 mg/kg - ppm,crushed chillies,China via India
alert,19/10/2005,,2005.735,France,food,herbs and spices,unauthorised colour Rhodamine B (2.7; 3.7 mg/kg - ppm) in chilli powder from India,co,colour Rhodamine B,2.7; 3.7 mg/kg - ppm,chilli powder,India
alert,19/10/2005,,2005.733,Germany,food,herbs and spices,unauthorised colour Rhodamine B (25 mg/kg - ppm) in chilli and paprika powder from France,co,colour Rhodamine B,25 mg/kg - ppm,chilli and paprika powder,France
alert,18/10/2005,,2005.729,Germany,food,fruits and vegetables,high content of iodine (1675; 18710 mg/kg - ppm) in dried algae from China via the Netherlands,co,iodine,1675; 18710 mg/kg - ppm,dried algae,China via the Netherlands
alert,17/10/2005,25/07/2011,2005.727,Germany,food,non-alcoholic beverages,"too high content of taurine (4000 mg/l) and high content of caffeine (320 mg/l) in energy drink from Japan, via the Netherlands",co,taurine,4000 mg/l,energy drink,"Japan, via the Netherlands"
alert,17/10/2005,,2005.724,Italy,food,fish and fish products,carbon monoxide treatment (presence) of frozen vacuum packed tuna loins (Thunnus albacares) from Indonesia,co,,presence,frozen vacuum packed tuna loins (thunnus albacares),Indonesia
information,14/10/2005,,2005.CQL,Italy,food,herbs and spices,unauthorised colours Sudan 1 (25 mg/kg - ppm) and Sudan 4 (18 mg/kg - ppm) in hot pepper powder from Egypt,co,colour Sudan 1,25 mg/kg - ppm,hot pepper powder,Egypt
information,13/10/2005,,2005.CPZ,Germany,food,fish and fish products,carbon monoxide treatment of tuna loins from Indonesia via the Netherlands,co,,,tuna loins,Indonesia via the Netherlands
alert,13/10/2005,,2005.717,Germany,food,"soups, broths, sauces and condiments",unauthorised colour red yeast rice (Angkak) in soybean cheese sauce from China (Hong Kong) via the Netherlands,co,colour red yeast rice,Angkak,soybean cheese sauce,China (Hong Kong) via the Netherlands
alert,13/10/2005,,2005.715,Germany,food,"soups, broths, sauces and condiments",unauthorised colour red yeast rice (Angkak) in soybean cheese sauce from China (Hong Kong) via the Netherlands,co,colour red yeast rice,Angkak,soybean cheese sauce,China (Hong Kong) via the Netherlands
alert,12/10/2005,,2005.711,Luxembourg,food,"dietetic foods, food supplements, fortified foods",too high count of Enterobacteriaceae (10 000; 6000 CFU/g) and unauthorised ingredient (type of protein) in dried infant formulae (1 to 3 months old) from France via Belgium,co,too high count of Enterobacteriaceae,,dried infant formulae (1 to 3 months old),France via Belgium
information,11/10/2005,,2005.CPF,Germany,food,herbs and spices,unauthorised colour Sudan 1 (7.5 mg/kg - ppm) in ground hot  paprika from Turkey,co,colour Sudan 1,7.5 mg/kg - ppm,ground hot paprika,Turkey
alert,11/10/2005,,2005.703,Germany,food,herbs and spices,unauthorised colour Sudan 1 (49.8 mg/kg - ppm) in curry powder from Turkey,co,colour Sudan 1,49.8 mg/kg - ppm,curry powder,Turkey
alert,11/10/2005,,2005.701,Germany,food,fish and fish products,carbon monoxide treatment (800 µg/kg - ppb) of frozen yellowfin tuna (Thunnus albacares) from the Philippines,co,,800 µg/kg - ppb,frozen yellowfin tuna (thunnus albacares),the Philippines
alert,10/10/2005,,2005.697,Belgium,food,fats and oils,unauthorised colour Sudan 4 (11.8 mg/kg - ppm) in natural palm oil from Ghana via Germany,co,colour Sudan 4,11.8 mg/kg - ppm,natural palm oil,Ghana via Germany
alert,07/10/2005,,2005.695,Germany,food,herbs and spices,unauthorised colours Sudan 1 (1.2 mg/kg - ppm) and Sudan 4 (2.7 mg/kg - ppm) and unauthorised use of colour E 160b - annato/bixin/norbixin (48 mg/kg - ppm) in ground chilli from unknown origin via the Netherlands,co,colour Sudan 1,1.2 mg/kg - ppm,ground chilli,unknown origin via the Netherlands
alert,06/10/2005,,2005.690,Germany,food,fish and fish products,carbon monoxide treatment (990; 1100 µg/kg - ppb) of tuna chunks from Vietnam via the Netherlands,co,,990; 1100 µg/kg - ppb,tuna chunks,Vietnam via the Netherlands
alert,06/10/2005,,2005.689,Slovakia,food,herbs and spices,unauthorised colour Sudan 1 (0.097 mg/kg - ppm) in curry powder from India via the Netherlands,co,colour Sudan 1,0.097 mg/kg - ppm,curry powder,India via the Netherlands
information,05/10/2005,,2005.CNX,Belgium,food,fats and oils,unauthorised colour Sudan 4 (5.3 mg/kg - ppm) in palm oil from Nigeria,co,colour Sudan 4,5.3 mg/kg - ppm,palm oil,Nigeria
information,05/10/2005,,2005.CNW,Belgium,food,fats and oils,unauthorised colour Sudan 4 (0.69 mg/kg - ppm) in palm oil from Ghana,co,colour Sudan 4,0.69 mg/kg - ppm,palm oil,Ghana
information,03/10/2005,,2005.CNI,Hungary,food,fruits and vegetables,too high content of nitrate (3821.5 mg/kg - ppm) in corn salad from the Netherlands,co,nitrate,3821.5 mg/kg - ppm,corn salad,the Netherlands
information,03/10/2005,,2005.CNH,Hungary,food,fruits and vegetables,too high content of nitrate (3040; 4417 mg/kg - ppm) in insalatina and rucola lettuce from Italy via Germany,co,nitrate,3040; 4417 mg/kg - ppm,insalatina and rucola lettuce,Italy via Germany
information,03/10/2005,,2005.CNF,United Kingdom,food,fruits and vegetables,unauthorised colour Rhodamine B (23 mg/kg - ppm) in pickled turnips from Lebanon,co,colour Rhodamine B,23 mg/kg - ppm,pickled turnip,Lebanon
information,30/09/2005,,2005.CNB,Hungary,food,fruits and vegetables,too high content of nitrate (3638.4 mg/kg - ppm) in rucola lettuce from Italy via Germany,co,nitrate,3638.4 mg/kg - ppm,rucola lettuce,Italy via Germany
information,28/09/2005,,2005.CMP,Germany,food,meat and meat products (other than poultry),unauthorised colours Sudan 1 (85 mg/kg - ppm) and Sudan 4 (18 mg/kg - ppm) in spice mixture for minced meat from Lithuania,co,colour Sudan 1,85 mg/kg - ppm,spices,Lithuania
information,28/09/2005,,2005.CML,Italy,food,fish and fish products,carbon monoxide treatment (44 µg/kg - ppb) of deep frozen tuna fillets (Thunnus albacares) from Vietnam via the Netherlands,co,,44 µg/kg - ppb,deep frozen tuna fillets (thunnus albacares),Vietnam via the Netherlands
information,28/09/2005,,2005.CMK,Germany,food,herbs and spices,"unauthorised colours Sudan 1,Sudan 3 and Para Red in various types of seasoning from the Russian Federation",co,"colour Sudan 1,Sudan 3",,various types of seasoning,the Russian Federation
information,27/09/2005,,2005.CLZ,Germany,food,herbs and spices,unauthorised colour Sudan 1 (0.7 mg/kg - ppm) in red pepper from the Russian Federation,co,colour Sudan 1,0.7 mg/kg - ppm,red pepper,the Russian Federation
information,27/09/2005,,2005.CLU,Greece,food,herbs and spices,unauthorised colour Sudan 1 (10.3 mg/kg - ppm) in seasoning for spaghetti and pizza from Greece,co,colour Sudan 1,10.3 mg/kg - ppm,seasoning for spaghetti and pizza,Greece
information,22/09/2005,,2005.CLB,Germany,food,herbs and spices,unauthorised colours Sudan 1 (0.18 mg/kg - ppm) and Sudan 4 (0.18 mg/kg - ppm) in turmeric powder (haldi) from Pakistan via India,co,colour Sudan 1,0.18 mg/kg - ppm,turmeric powder (haldi),Pakistan via India
information,22/09/2005,,2005.CLA,Germany,food,herbs and spices,unauthorised colour Sudan 1 (0.05 mg/kg - ppm) in red chilli powder from Pakistan via India,co,colour Sudan 1,0.05 mg/kg - ppm,red chilli powder,Pakistan via India
information,22/09/2005,,2005.CKZ,Germany,food,herbs and spices,unauthorised colours Sudan 1 (0.07 mg/kg - ppm) and Sudan 4 (0.01 mg/kg - ppm) in red chilli powder from Pakistan via India,co,colour Sudan 1,0.07 mg/kg - ppm,red chilli powder,Pakistan via India
information,22/09/2005,,2005.CKY,Germany,food,herbs and spices,unauthorised colours Sudan 1 (00.7 mg/kg - ppm) and Sudan 4 (0.01 mg/kg - ppm) in red chilli powder from Pakistan via India,co,colour Sudan 1,00.7 mg/kg - ppm,red chilli powder,Pakistan via India
information,22/09/2005,,2005.CKX,Germany,food,herbs and spices,unauthorised colour Sudan 1 (0.06 mg/kg - ppm) in chilli powder from Pakistan via India,co,colour Sudan 1,0.06 mg/kg - ppm,chilli powder,Pakistan via India
